country1,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Curazao,13159.1,9061.3,7498.8,11527.8,7517.2,9941.4,923.4,945.0,5627.4,11102.9,113.3,17227.9,8538.2,11293.7,1676.4,12250.0,15452.4,1032.3,9378.3,7804.2,2171.9,7784.6,2273.2,15089.9,3203.3,81.8,8817.3,10894.6,3474.4,15692.0,834.5,18112.8,9463.2,7315.8,11065.1,17190.6,8910.8,5837.9,4866.8,1481.6,9856.9,9422.4,5302.2,14640.3,19421.6,18497.4,1023.5,12745.4,10579.1,1635.5,6963.8,8608.0,1395.1,0.0,10343.7,8589.1,10193.0,8179.9,12021.7,898.5,737.4,1852.3,10360.6,2166.5,8810.7,11621.5,9091.6,11641.0,11885.2,7145.2,7374.4,12673.7,9067.5,7597.2,9430.5,14403.0,9014.1,5818.1,10870.4,8228.3,7447.8,6861.6,9238.5,6848.7,803.7,15341.8,2328.3,7287.7,6471.1,5850.3,1370.6,831.4,1895.5,16165.7,8914.5,6980.2,14976.0,18706.9,12182.4,11303.0,7006.1,7265.0,10606.1,8422.1,1108.3,13939.7,7315.5,10748.1,12050.2,11856.2,11155.9,9096.6,11809.4,13027.7,16342.9,9100.2,10599.6,11365.2,6562.9,9051.6,8162.4,9087.6,7917.1,16192.4,13145.7,11739.3,17942.5,15519.3,6988.6,8635.9,13041.1,6240.1,14271.4,3764.0,15147.3,9568.5,7994.4,13427.5,8970.9,890.8,6660.3,11954.4,15895.9,10282.7,13729.8,14672.0,7876.3,14151.0,13079.9,1764.0,8261.8,8477.2,11579.8,13868.0,13948.5,9183.3,15029.4,8149.4,12949.0,13533.3,16625.5,10609.8,1352.2,16360.9,4103.5,2454.4,16994.5,7543.0,8826.0,6656.1,717.5,12326.9,9459.3,9349.9,11818.9,11027.6,916.2,7562.9,880.8,889.9,912.6,4035.5,841.8,11729.2,8399.4,8447.4,11825.5,5900.7,9080.2,13876.4,6269.3,18317.5,910.4,8907.7,8582.8,14662.8,12612.1,10875.0,14401.3,10968.4,7051.2,16013.0,10694.8,1694.2,8711.3,8061.2,10836.4,15893.2,13019.3,11670.7,16716.0,18383.4,7635.8,11613.6,12161.7,863.2,8216.0,10366.8,12240.2,1095.6,12716.3,811.6,11212.4,9743.4,12663.4,7364.3,3837.8,5142.1,12412.2,13990.2,688.0,17088.0,12269.6,12495.6,11047.7,11294.7
Cyprus,3134.2,1339.1,3102.0,16715.3,2864.5,5383.4,9435.2,9398.8,12872.1,1161.3,10405.3,12476.2,2085.6,1365.1,10153.3,1936.3,5593.2,9445.4,2109.0,2889.9,11589.7,4262.1,8683.0,5418.4,11664.6,10277.6,1664.6,6425.5,10497.6,6107.6,9557.6,8932.8,1088.8,4339.3,4277.4,7548.2,3753.4,9201.6,6058.9,10799.6,3407.1,2627.2,13389.3,6269.7,9103.7,8480.2,11316.8,5317.2,18005.8,11768.9,5012.6,1901.1,10434.4,10343.7,0.0,2189.4,4503.9,2966.8,2741.8,9466.2,10005.5,12088.0,954.3,11881.8,4414.5,2299.2,2681.9,6826.5,2965.8,13167.8,4092.5,16072.4,3028.6,2888.0,18051.1,10001.2,4579.8,5432.4,1174.1,2562.0,4624.8,3490.6,1119.7,5853.3,9687.7,11020.4,11830.7,3326.2,5179.5,5526.8,9919.2,10166.6,11567.1,7799.1,1770.3,4780.9,4718.2,9198.4,1896.7,967.8,3820.3,3616.2,471.6,1961.5,10638.3,8932.2,3287.1,568.0,3105.4,3918.9,15818.1,1365.3,1471.3,3649.6,6898.6,2507.8,264.2,7186.2,5411.4,1828.5,2393.9,2345.5,2749.8,7760.3,6131.4,5355.3,7796.6,5413.2,4177.0,1727.7,13575.6,4590.4,6647.7,12023.3,11931.0,1427.9,2422.7,5863.2,1478.2,9453.1,3759.5,5957.4,6193.5,6619.2,13869.2,4809.0,2921.5,15118.7,16606.7,11659.3,3171.7,3828.8,17116.4,15717.7,7896.0,1247.3,10793.5,3337.6,2661.8,3388.3,10539.1,389.9,11606.3,12280.7,11634.2,12272.5,9051.2,17848.9,2185.4,3692.3,9737.5,2018.3,4320.5,1397.0,5702.1,4119.9,9435.6,8002.2,9465.7,9527.4,9443.8,7240.1,9613.6,16531.3,2043.1,4765.8,1679.0,5289.7,1450.9,4974.6,5460.5,8148.4,9445.4,1880.8,1974.2,13945.9,3569.2,7353.5,8168.7,3135.7,3302.7,5683.2,2487.2,9715.2,2977.7,2470.5,509.6,8323.4,3370.2,4595.4,6988.0,10783.0,4430.0,16141.7,16831.9,9754.1,2193.2,455.4,2354.5,9941.1,15226.6,9585.1,3738.6,1483.8,2362.8,3596.9,10443.4,11935.8,2797.5,14915.8,10509.3,7758.1,16148.7,2639.8,5373.5,6009.0
Czechia,4571.7,1030.0,2688.7,16029.2,1338.2,6763.5,7666.0,7669.0,12463.2,2550.5,8630.1,14124.1,264.8,2724.4,8120.9,4011.4,6965.8,7824.7,962.5,789.2,9530.0,4653.9,6679.0,6673.4,10614.1,8534.4,677.2,8042.5,9659.9,8251.6,7762.5,10287.7,1100.7,4450.0,6055.2,8917.9,4714.6,7093.7,5160.6,8794.9,4816.7,3822.7,12739.1,6984.9,10903.8,10424.5,9607.0,7375.7,16805.5,9841.7,5079.5,524.9,8436.1,8589.1,2189.4,0.0,5997.8,820.9,4891.1,7773.1,8131.1,10426.6,2870.5,9849.5,5360.9,4426.6,1156.0,8602.4,5069.4,13296.4,1923.8,16046.5,1489.4,1064.7,16192.7,12125.7,5621.6,4910.6,2296.4,386.5,4889.3,2264.7,1295.3,3752.3,8050.1,11435.5,9767.1,1301.7,4994.2,5064.2,8480.0,8262.2,9548.4,8729.6,419.3,2616.9,6392.8,10682.5,3687.7,2959.7,1682.2,1453.5,2638.3,911.3,8685.5,8945.3,1273.6,2753.0,3701.4,5922.6,14840.9,904.3,3524.2,4605.6,8137.7,991.9,2436.1,8887.7,5343.3,2611.0,527.2,824.0,672.0,8708.1,8202.4,7226.0,9402.3,7474.8,3979.9,1544.5,13273.1,3953.3,8808.8,9843.7,12326.9,986.5,912.1,6161.6,845.2,7723.1,2741.4,7838.9,7507.0,8065.9,13908.9,6155.1,759.3,15865.1,18131.9,9677.0,3634.0,4560.1,16558.4,16741.9,8020.8,1034.0,11097.0,1265.7,4730.3,4945.2,11374.4,2573.8,9735.3,13224.1,10885.7,10817.8,10059.0,15775.8,348.5,2194.4,7918.5,4095.5,5545.9,829.6,5326.6,5898.9,7675.4,8571.7,7715.7,7868.8,7677.2,5116.3,7967.5,15946.5,692.2,5564.5,3856.6,4764.0,769.9,7159.7,5235.9,9776.0,7679.5,333.1,409.2,14494.4,5727.8,8933.3,8419.8,4984.7,1826.2,7581.2,4314.2,8354.5,1165.3,632.0,2538.5,9069.1,4501.6,6502.4,8358.3,12208.4,4765.8,15424.7,16691.4,8153.4,1835.3,1973.6,3652.8,8005.4,14988.3,7787.8,5601.5,1154.9,4431.6,1416.8,8255.3,11502.7,3871.0,15404.0,8896.7,9026.2,15845.4,4828.2,7077.8,7742.6
Democratic Republic of the Congo,6395.4,5006.8,4152.1,17600.4,5545.6,900.7,9610.8,9464.0,9331.9,5432.9,10301.6,12015.6,5754.7,5558.0,11127.4,4549.3,8035.2,9179.9,6426.3,6266.5,12302.3,2613.7,9924.8,8139.7,9396.2,10111.5,5326.7,2048.1,8148.8,5560.3,9778.2,10382.5,5193.3,3146.2,909.5,9381.6,1637.9,12643.5,5505.1,11458.4,1181.1,2181.4,10051.3,9593.9,9274.3,8305.6,10724.6,2585.4,17203.2,11793.6,3292.2,5481.6,11167.3,10193.0,4503.9,5997.8,0.0,6777.3,2897.5,9400.8,10362.1,11107.6,3550.4,12355.9,1424.7,2909.7,6950.2,2694.6,2538.7,9057.0,7710.8,16668.3,7323.0,5892.9,17417.7,6721.7,1184.0,4529.2,5578.0,6211.4,2856.1,5267.0,4773.3,9559.8,9392.6,13695.7,12493.3,6376.6,3815.5,4448.5,9026.5,10586.8,12067.1,10427.5,5676.2,8344.4,6811.9,10252.7,5259.6,4726.8,6956.7,6904.7,4124.2,5168.6,11113.0,12642.1,6336.1,4129.6,7246.9,1850.1,18600.0,5165.8,4600.7,7341.4,9201.9,6758.0,4448.5,2911.5,3654.4,3395.8,5797.4,6565.6,6153.9,10368.2,3180.2,1714.7,8968.3,5780.4,3703.6,4491.6,16632.9,4517.8,4276.5,13679.5,14355.4,5736.3,5484.7,9734.8,5182.5,9502.1,5005.7,2205.4,8561.3,2122.7,16130.2,7568.1,6416.7,15211.7,14332.2,11957.0,2826.5,2052.5,17156.0,14876.6,11635.7,5054.7,13718.2,7246.4,4675.3,6331.1,12592.9,4231.0,11463.0,13510.8,8838.6,10689.3,11202.7,15414.0,6205.9,5708.0,9981.9,4547.4,782.7,5545.4,10056.5,931.5,9582.7,4070.8,9571.7,9342.4,9608.4,9431.7,9365.8,17522.4,5395.1,1748.2,3992.4,4490.9,5322.7,3744.7,3971.5,9147.9,9607.5,5842.8,5599.5,15177.9,2901.5,2938.2,11717.0,1607.0,5572.5,6684.3,2090.1,8696.6,7120.1,5788.8,4662.9,11132.7,6953.1,1478.2,8991.0,11479.9,2712.7,17935.2,16666.3,9335.2,4389.9,4958.9,6142.6,10548.4,17082.7,9804.4,1315.6,5879.0,4621.8,6980.5,12703.8,8603.1,6642.4,15633.4,9886.0,9750.8,17150.1,3659.0,1208.5,1841.7
Denmark,5014.2,1849.7,3197.3,15344.2,1627.3,7517.1,7266.3,7292.1,12538.5,3143.8,8208.5,14407.2,1032.8,3287.3,7542.6,4704.6,7292.6,7505.1,1210.9,722.8,8917.6,5246.3,6141.0,6961.6,10492.1,8132.6,1490.5,8825.3,9653.8,8946.6,7345.5,10520.7,1888.9,4976.9,6866.9,9191.0,5428.8,6276.3,5288.4,8229.0,5598.5,4596.3,12711.2,7048.6,11348.1,10960.5,9203.3,8194.9,16016.4,9313.1,5563.6,1304.4,7878.9,8179.9,2966.8,820.9,6777.3,0.0,5692.7,7414.8,7659.4,10032.0,3687.8,9253.6,6055.8,5232.9,964.8,9405.4,5881.3,13543.0,1126.0,15518.3,1119.8,1225.4,15371.9,12939.7,6329.7,5204.5,2866.8,570.9,5438.2,2501.2,2116.0,2931.9,7716.2,11242.8,9149.9,1108.4,5402.7,5372.1,8237.7,7769.6,8964.9,8821.3,1223.4,1814.5,6861.7,10967.1,4292.5,3657.9,1179.8,919.8,3427.0,1615.7,8155.9,8677.1,1107.5,3534.6,3914.2,6743.2,14136.6,1724.7,4220.4,4875.0,8374.9,928.9,3201.9,9679.2,5773.7,3381.6,1012.3,910.2,752.2,8807.6,9021.2,8041.9,9773.5,8115.3,4442.3,2289.2,12779.8,4263.3,9609.0,9113.6,12099.1,1622.4,1399.7,6099.5,1664.8,7344.9,3009.0,8654.6,7793.3,8818.8,13501.4,6497.4,535.5,15613.8,17996.9,9116.1,4292.0,5234.1,15873.3,16538.2,7822.1,1854.0,10872.5,472.6,5407.6,5413.9,11350.1,3355.7,9241.2,13185.8,10879.8,10513.3,10144.8,15088.1,793.8,2282.5,7484.2,4788.0,6289.1,1571.5,5048.1,6711.3,7280.8,9098.4,7326.2,7527.6,7278.8,4489.3,7630.8,15285.7,1386.4,6222.8,4607.5,5064.4,1586.5,7940.2,5619.6,10150.2,7281.4,1090.6,1187.8,14242.1,6527.2,9704.1,8255.4,5803.7,2004.8,8129.5,5133.8,8153.7,687.7,1054.6,3268.1,9075.9,4840.1,7321.5,8645.8,12426.8,5339.1,14756.3,16089.7,7836.8,2486.8,2697.9,4106.5,7496.4,14453.9,7369.0,6419.8,1707.2,5114.2,815.7,7507.2,11601.0,4233.9,15082.2,8557.6,9251.8,15254.6,5590.7,7877.9,8543.4
Djibouti,3535.3,3918.3,4616.8,16478.8,5216.5,3735.4,11219.5,11125.4,12229.2,3138.7,12111.9,10686.2,4744.1,3175.8,12345.8,1775.4,5207.2,11003.3,4823.7,5512.4,13764.4,4413.0,10897.6,5271.6,12086.8,11943.2,4284.1,4253.5,10814.2,3814.6,11372.1,7971.6,3803.9,4802.4,2189.1,6774.2,3353.4,11943.2,7184.2,12898.7,2446.9,2610.9,12947.4,6697.1,7400.5,6558.2,12818.1,2624.8,17428.9,13634.8,5298.0,4514.4,12542.6,12021.7,2741.8,4891.1,2897.5,5692.7,0.0,11130.6,11915.0,13409.9,2068.2,13972.2,3741.1,479.7,5396.3,4410.0,375.2,11865.8,6813.1,15353.4,5724.1,5379.6,18584.4,7259.6,3699.2,6278.5,3379.7,5242.8,4798.0,5497.9,3650.8,8595.0,11245.9,11003.7,14000.7,5871.9,5712.3,6283.3,11156.7,12116.5,13646.9,7637.2,4474.9,7505.3,3998.5,8004.1,2548.5,2372.4,6424.3,6253.0,2272.5,4425.0,12644.2,9744.7,5829.5,2178.1,4607.4,1408.9,16457.6,4004.5,2001.4,4519.8,6447.6,5231.4,2533.9,4836.8,5741.4,3104.8,4988.8,5078.3,5371.8,7580.8,3416.1,2920.7,6589.0,3508.7,5045.5,3894.5,13968.4,5781.7,3917.8,14561.8,11781.8,4163.8,4885.9,6882.7,4092.7,11175.1,5534.8,3460.4,5767.4,4659.1,13763.1,4684.1,5580.0,13893.8,14371.6,13651.7,3765.4,3723.3,16465.2,14074.2,8742.3,3874.6,10954.2,6077.5,1779.1,3439.4,10063.7,2353.0,13373.8,11394.0,11645.7,13213.1,8574.3,18243.1,4922.2,5845.9,11575.4,1749.4,3244.6,4133.2,7427.4,2072.8,11205.7,6967.8,11217.2,11133.4,11223.1,9719.8,11192.1,16265.7,4582.2,4178.5,1360.6,6176.0,4124.3,2317.7,5961.6,6855.1,11223.6,4602.1,4610.1,13216.1,838.1,5140.2,8820.3,1354.5,5523.9,4207.6,1350.4,10865.3,5712.4,5041.6,2570.7,8322.4,4125.1,2185.3,6310.5,9479.4,4585.7,16253.2,15878.9,11249.6,4148.2,3093.5,3444.2,11962.6,15078.6,11400.8,1621.6,4189.6,1751.8,6257.5,13064.3,11489.3,3914.4,14017.4,11940.1,7109.1,15719.6,762.1,3204.5,3716.1
Dominica,12342.2,8198.2,6600.4,12403.9,6659.2,9214.8,359.4,187.7,5963.2,10259.7,982.4,18104.7,7707.0,10455.4,1981.7,11362.7,14707.0,315.1,8597.0,6995.1,2903.4,6936.9,1903.7,14371.9,3515.1,824.3,7966.4,10262.0,3440.1,14836.9,481.5,17757.2,8610.4,6456.2,10254.6,16570.0,8062.3,5900.1,3999.4,2087.4,9002.4,8537.0,5755.3,14130.5,18524.3,17655.9,1854.9,11976.1,11475.6,2509.8,6137.0,7762.7,1858.8,898.5,9466.2,7773.1,9400.8,7414.8,11130.6,0.0,1005.2,2658.0,9464.1,2969.2,7999.1,10726.3,8348.7,11042.0,11002.0,7447.7,6683.0,13552.6,8356.2,6760.1,10325.4,14201.6,8217.2,4962.4,10036.0,7421.9,6612.2,5978.4,8367.5,6377.6,349.7,15718.7,3092.9,6476.5,5633.1,5005.5,1197.6,1225.5,2669.6,15792.8,8082.6,6353.0,14133.2,18308.5,11320.2,10429.1,6235.2,6495.2,9718.3,7559.9,1723.4,13932.3,6501.9,9860.1,11319.2,11013.7,11979.3,8240.5,10927.7,12288.0,15727.0,8342.1,9720.0,10809.3,5750.5,8153.1,7328.9,8314.9,7102.2,15807.0,12438.1,10997.6,17174.8,14623.0,6107.3,7751.7,13722.7,5349.4,13572.3,4401.4,15692.4,8743.9,7141.4,12951.1,8114.6,170.9,5766.0,11262.1,15198.6,9672.5,14477.8,13907.4,7079.1,15041.2,13942.8,2587.6,7375.7,7623.9,12469.9,14765.6,13764.2,8323.0,15353.7,7423.8,12057.4,12703.0,16927.8,9724.4,2245.1,17089.7,4310.2,3109.6,16855.9,8431.7,8025.8,5787.6,637.0,11438.8,8651.1,8513.9,11394.4,10208.0,316.0,7090.7,262.6,171.9,345.1,3527.7,269.1,12602.2,7547.4,7652.7,10930.5,5038.1,8231.3,13035.7,5444.9,17549.0,341.7,8085.3,7743.5,15483.8,11736.2,10342.3,14243.5,10101.6,6185.1,15122.0,9809.2,1399.8,7980.0,7225.7,9962.8,15669.9,12246.9,10872.8,16045.4,18962.3,6793.7,12465.1,13054.8,522.8,7325.7,9505.3,11424.2,1301.1,13543.9,495.5,10370.1,8927.6,11773.6,6603.1,4149.9,5338.3,11627.5,14858.1,1146.3,16554.3,13139.3,11597.4,10316.9,10617.5
Dominican Republic,12671.1,8690.6,7315.1,11545.4,7146.0,10207.6,751.4,905.6,6363.0,10674.2,688.0,17459.0,8105.3,10854.5,1021.9,11937.1,14861.5,1291.1,8868.3,7342.0,1948.8,7852.1,1599.4,14480.0,3940.5,754.4,8420.0,11267.1,4159.3,15697.3,584.0,17376.1,9065.3,7355.2,11199.0,16502.0,8971.6,5130.5,4900.7,1097.9,9898.7,9361.8,6023.7,13932.4,18989.7,18459.1,1630.2,12945.1,10714.0,1770.3,7080.0,8200.7,854.1,737.4,10005.5,8131.1,10362.1,7659.4,11915.0,1005.2,0.0,2438.5,10123.9,2074.4,8949.5,11486.2,8542.1,12046.3,11821.5,7881.5,6791.5,12695.2,8489.8,7182.3,9556.5,15067.0,9178.4,5876.3,10427.0,7759.0,7543.8,6570.9,8887.7,6153.5,1164.1,14789.1,2157.6,6832.9,6566.5,5934.0,1961.2,225.2,1755.8,15430.5,8480.1,6355.6,14514.2,17970.8,11787.2,10946.7,6501.3,6756.7,10307.4,8053.7,756.9,13232.7,6863.9,10449.4,11472.3,11919.9,11039.7,8708.7,11476.6,12451.4,15661.5,8566.0,10266.9,11808.8,6707.8,8860.8,7736.3,8569.6,7462.6,15458.0,13431.8,11982.3,17326.8,15339.4,6959.5,8334.7,12718.8,6171.8,14566.1,3399.5,14703.3,9117.2,7608.0,12714.8,8584.3,874.0,6429.6,12260.8,15263.2,10677.0,13485.8,14107.1,7396.9,14213.3,13433.9,1736.7,8204.2,8528.0,11659.9,14059.3,13214.4,8804.8,14447.4,7589.8,12654.6,13063.2,16043.0,10299.8,1609.0,16087.5,4836.6,3134.3,16273.7,7850.4,8343.6,6319.4,381.6,12017.3,9602.3,8919.8,11098.5,11144.0,780.2,8065.5,796.0,1116.9,754.0,3376.1,1143.5,11734.7,8007.5,8616.9,11563.2,5940.1,8677.0,13934.4,6393.1,17689.0,754.9,8457.5,8164.2,14527.9,12574.0,11337.3,13670.3,10970.0,6704.2,15680.6,10626.7,2247.7,8153.1,7639.5,10482.4,15158.7,12475.6,11825.8,16057.4,17993.3,7717.0,11557.9,12257.5,1310.4,7946.8,9982.7,11757.5,369.4,12602.9,557.8,11279.0,9277.1,12360.0,6845.8,3215.6,5876.0,11886.7,13966.5,1416.1,16372.8,12261.4,12313.5,11306.8,11619.4
Ecuador,14997.9,10845.0,9113.8,10178.1,9312.0,10639.8,2768.1,2757.6,4314.9,12916.4,1828.6,15454.4,10364.6,13113.0,2973.6,13942.4,17295.0,2645.6,11229.0,9645.0,2389.2,9008.2,4036.3,16918.3,2262.1,1900.0,10621.6,11261.3,3197.3,16587.0,2686.8,18570.2,11264.3,8607.5,12016.7,18768.7,10103.7,6913.2,6273.2,2375.3,11050.3,10813.4,3809.3,16228.3,18582.8,18366.0,829.5,13450.9,9071.0,1421.7,8131.3,10419.8,2583.7,1852.3,12088.0,10426.6,11107.6,10032.0,13409.9,2658.0,2438.5,0.0,11989.8,2093.8,9852.3,13071.5,10942.6,11870.1,13200.9,5805.7,9215.0,11280.5,10911.3,9418.0,7965.0,13545.1,9992.9,7140.3,12694.0,10070.7,8632.2,8599.2,11004.6,8550.0,2406.2,15131.9,2356.5,9127.2,7699.4,7128.2,2265.5,2389.8,2082.3,17376.5,10740.3,8793.6,16786.6,18657.8,13962.7,13055.3,8857.4,9116.5,12306.0,10208.5,2207.7,14676.1,9153.7,12446.1,13895.8,12921.3,10068.0,10892.8,13531.5,14874.5,18008.6,10952.4,12335.9,11495.5,7694.3,10645.2,9986.7,10939.4,9754.9,17425.2,13605.2,12399.8,19740.4,16853.7,8404.3,10362.4,12322.4,7737.3,14614.5,3860.1,14597.3,11400.5,9796.3,15010.6,10766.9,2703.5,8343.5,12439.5,17695.6,10620.8,12785.3,16523.0,9722.1,12648.2,11292.6,1801.1,9682.2,9705.1,10128.2,12215.8,15020.8,10972.2,14969.9,9998.1,14604.5,15361.0,16348.7,12322.2,1182.4,15267.2,3201.7,886.2,17512.6,5860.8,10671.3,8433.2,2556.0,14013.9,10464.2,11171.9,13376.0,12019.4,2755.8,7717.8,2713.2,2575.7,2756.1,5812.5,2483.7,10393.5,10202.4,9440.4,13460.9,7249.7,10887.1,14834.4,7455.3,19805.9,2753.6,10741.1,10401.4,13445.8,13848.4,10974.9,15387.9,12196.5,8832.4,17607.7,12059.7,2545.6,10560.6,9883.6,12591.2,16837.1,14871.6,12544.5,18448.6,17126.7,8840.0,10390.4,10671.0,2333.9,9915.5,12151.8,14079.2,2693.6,11556.7,2663.7,12301.1,11581.5,14336.5,9216.5,4674.4,4128.8,14263.4,12619.7,1579.0,18483.0,10938.8,13995.3,11706.4,11769.7
Egypt,3613.8,1865.6,2877.9,17443.3,3169.0,4432.8,9487.1,9423.7,12170.8,1972.4,10435.8,12448.1,2700.3,2140.9,10417.8,1980.0,5954.7,9396.4,2995.1,3450.7,11858.4,3569.4,8947.7,5849.7,11240.9,10288.1,2234.1,5477.7,10016.5,5749.4,9625.3,9186.7,1830.2,3744.6,3342.1,7837.6,2905.0,9963.9,5765.3,11021.0,2468.7,1774.2,12751.3,6895.9,9067.4,8336.2,11274.9,4508.3,18784.2,11890.8,4390.8,2459.1,10656.6,10360.6,954.3,2870.5,3550.4,3687.8,2068.2,9464.1,10123.9,11989.8,0.0,12111.2,3545.5,1590.1,3558.6,5902.9,2206.6,12324.2,4790.7,16600.5,3918.9,3313.3,18991.5,9255.8,3684.8,5013.3,2064.1,3203.1,3954.8,3563.8,1595.4,6618.2,9642.7,11619.9,12099.6,3803.8,4641.9,5078.0,9747.2,10306.5,11787.4,8292.2,2465.4,5483.5,4931.2,9371.1,2296.7,1428.9,4357.2,4190.9,612.4,2357.1,10811.1,9703.8,3761.4,675.3,3912.4,3066.3,16689.1,1968.3,1661.2,4309.1,7279.2,3375.1,918.8,6250.6,4817.2,1352.7,2925.5,3198.1,3310.8,8247.1,5333.8,4449.7,7936.1,5216.5,3718.3,1856.9,14332.7,4279.9,5963.6,12512.7,12510.8,2295.2,2819.8,6630.6,2045.2,9476.7,3703.9,5058.3,6562.0,5664.9,14507.3,5222.6,3527.4,15405.4,16383.5,11838.3,2549.6,3047.1,17744.2,15827.7,8659.5,1837.9,11437.3,4104.9,2614.8,3772.6,10990.7,712.9,11681.9,12627.4,11084.7,12037.3,9472.7,17838.1,2953.6,3864.6,9818.5,2043.3,3396.0,2184.1,6606.2,3183.9,9481.0,7145.8,9502.9,9500.5,9493.5,7670.7,9576.1,17237.4,2515.3,3923.3,1472.5,4881.0,2101.4,4383.4,4922.1,8262.7,9494.7,2608.6,2559.8,14388.9,2902.6,6404.8,8891.1,2207.9,3514.7,5665.5,1546.4,9505.7,3815.4,2975.2,1181.3,8875.4,3979.9,3698.4,7296.2,10941.5,3746.4,16923.0,17317.2,9683.6,2184.1,1408.8,2991.0,10113.7,15897.8,9653.7,2820.4,2393.1,2351.0,4201.5,10996.9,11266.6,3479.9,15327.3,10424.6,8094.9,16780.2,2218.2,4431.8,5074.2
