,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Cote d'Ivoire,East,Northeast,North,West,North,Southeast,West,West,Southwest,Northeast,West,East,Northeast,Northeast,West,East,East,West,Northeast,North,West,East,Northwest,East,West,West,Northeast,Southeast,Southwest,East,West,East,Northeast,Northeast,East,East,East,Northwest,Northwest,West,East,East,Southwest,East,East,East,West,East,West,West,#DIV/0!,Northeast,West,West,Northeast,Northeast,Southeast,North,East,West,West,West,Northeast,West,East,East,Northeast,Southeast,East,Southwest,North,West,Northeast,North,West,Southeast,Southeast,Northwest,Northeast,North,East,North,Northeast,Northwest,West,East,West,North,Northwest,Northwest,West,West,West,East,Northeast,North,East,East,Northeast,Northeast,North,North,Northeast,Northeast,West,East,North,Northeast,Northeast,East,West,Northeast,East,Northeast,East,Northeast,Northeast,Southeast,West,Northeast,North,Northeast,North,East,Southeast,Southeast,East,East,North,Northeast,East,North,Southeast,West,East,Northeast,North,East,Northeast,West,North,Southeast,East,Southeast,East,East,North,East,West,West,Northeast,East,West,East,East,Northeast,East,North,East,East,East,Northeast,West,East,Southwest,West,East,West,Northeast,North,West,East,East,Northeast,Northeast,East,West,South,West,West,West,Northwest,West,West,Northeast,Southeast,East,Northwest,Northeast,East,West,East,West,Northeast,Northeast,East,East,Southeast,East,East,North,East,East,West,Northeast,North,Northeast,East,East,East,East,East,East,West,West,West,Northeast,Northeast,Northeast,West,West,West,East,Northeast,East,North,West,Southwest,Northeast,East,West,East,West,East,Southeast,Southeast
Croatia,East,Southeast,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,North,East,West,Southeast,East,Southwest,Northeast,Northwest,West,South,West,East,Southwest,West,Southeast,South,Southwest,Southeast,West,East,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,#DIV/0!,West,West,Southeast,North,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,Northwest,Southwest,Southwest,Southeast,Northwest,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Northeast,Northwest,East,Southeast,East,Southeast,West,Northwest,Southeast,Southwest,West,East,West,Southeast,East,Southeast,East,Southeast,Southeast,East,East,Northeast,Southeast,South,Southwest,South,West,Northeast,Northwest,East,Southeast,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,East,West,East,Southeast,West,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,East,Southeast,East,Southeast,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,Northeast,West,West,Southeast,South,East,East,South,West,South,West,West,West,West,Southwest,East,Southwest,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,West,Northeast,North,East,Southeast,South,East,Southeast,West,Southeast,Southeast,Southwest,North,West,Southeast,East,East,South,East,Southeast,South,East,East,Southwest,Southwest,East,East,West,East,West,South,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Cuba,East,East,East,West,East,East,East,East,South,East,Southeast,West,East,East,North,East,East,Southeast,East,East,West,East,Northeast,East,South,Southeast,East,Southeast,Southeast,East,East,West,East,East,East,West,East,Northwest,East,Southwest,East,East,South,West,West,East,South,East,Southwest,Southwest,East,East,#DIV/0!,Southeast,East,East,East,East,East,East,East,South,East,Southwest,East,East,East,Southeast,East,South,Northeast,West,East,East,Southwest,Southeast,East,East,East,East,East,East,East,Northeast,Southeast,West,Southwest,East,East,East,Southeast,Southeast,Southwest,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,South,West,East,East,East,East,West,East,East,East,West,East,East,Southeast,East,East,East,East,East,West,East,East,East,East,East,East,West,East,East,West,West,East,East,West,East,East,East,East,East,Southeast,West,East,East,West,Southwest,Southwest,East,East,Southwest,Southwest,West,East,West,Northeast,East,East,West,East,South,West,Southeast,South,West,Southwest,East,East,East,East,East,East,West,East,East,Southeast,East,Southeast,East,Northeast,Southeast,West,East,East,East,East,East,East,East,West,East,East,East,West,East,Southeast,West,East,East,East,East,Southeast,East,East,East,West,East,East,East,West,East,West,Southwest,Southeast,East,East,East,East,West,East,East,East,East,Northeast,Northwest,South,East,West,Southeast,West,West,East,East,East
Curazao,East,East,East,West,Northeast,East,Northeast,Northeast,South,East,West,West,Northeast,East,Northwest,East,East,East,Northeast,Northeast,West,East,North,East,South,East,East,East,Southeast,East,Northeast,West,East,East,East,East,East,Northwest,East,Northwest,East,East,South,East,East,East,Southwest,East,West,West,East,East,Northwest,#DIV/0!,East,Northeast,East,Northeast,East,Northeast,North,Southwest,East,West,East,East,Northeast,East,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,Northeast,East,West,West,Northeast,East,East,Southeast,Northwest,West,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,Northwest,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,West,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Northeast,East,East,East,East,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,South,West,Southwest,Northeast,Northeast,North,East,East,East,East,East,Northeast,Southeast,Northeast,East,Northeast,North,East,West,East,East,East,East,East,East,East,East,Northeast,East,East,West,East,Southeast,West,East,Northeast,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,East,East,East,East,North,West,Northeast,East,East,East,Northeast,Northwest,South,East,West,Southeast,East,West,East,East,East
Cyprus,East,Northwest,West,East,West,South,West,West,Southwest,Northeast,West,Southeast,Northwest,East,West,Southeast,East,West,North,Northwest,West,Southwest,West,East,Southwest,West,Northwest,South,Southwest,Southeast,West,East,Northwest,Southwest,South,East,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,Northwest,West,West,#DIV/0!,Northwest,South,Northwest,South,West,West,West,South,West,Southwest,South,North,South,South,Southwest,Northwest,East,North,West,East,Southeast,Southwest,Southwest,Northeast,Northwest,Southwest,West,West,Northwest,West,East,West,West,Southwest,Southwest,West,West,West,East,Northwest,Northwest,East,Southeast,East,East,Northwest,Northwest,South,West,West,East,West,Southeast,East,South,East,Northwest,East,East,East,North,Southeast,South,Southwest,Southwest,Northwest,Northwest,Northwest,East,South,South,Southeast,Southeast,Southwest,West,East,West,Southeast,West,East,North,West,East,Northwest,West,West,South,East,South,East,East,Northwest,Southeast,Southeast,West,Southwest,Southwest,East,Southeast,East,Northwest,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,West,East,West,Northwest,West,West,Southeast,Southwest,Northwest,East,South,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,Southeast,Southwest,Northwest,Southeast,Southwest,Southeast,West,Northwest,Northwest,East,Southeast,South,East,South,West,Southeast,South,West,Northwest,Northwest,East,East,East,South,East,Southeast,Southwest,East,East,West,West,Northeast,East,West,East,West,South,North,Southeast,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
Czechia,East,Southeast,Southwest,East,Southwest,South,West,Southwest,Southwest,East,Southwest,Southeast,South,East,West,Southeast,East,Southwest,East,West,West,South,West,East,Southwest,Southwest,South,South,Southwest,Southeast,West,Southeast,Southeast,Southwest,South,Southeast,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,South,West,Southwest,Southeast,#DIV/0!,South,Northwest,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,West,South,Southwest,Southeast,West,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Southeast,Northwest,Southeast,Southeast,Southeast,Southeast,West,West,Southeast,South,West,East,West,Southeast,East,Southeast,East,Southeast,Southeast,East,East,Northeast,Southeast,South,Southwest,South,Southwest,Northeast,West,East,Southeast,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,East,Southwest,East,Southeast,Southwest,Southwest,South,East,South,East,East,West,Southeast,East,West,South,South,East,Southeast,East,Southeast,East,Northwest,Southeast,East,East,Southeast,Southwest,Southeast,Southwest,Southwest,East,Southwest,Northeast,Southwest,West,Southeast,South,East,East,South,West,South,Southwest,Southwest,West,West,Southwest,East,Southwest,South,Southeast,Southwest,Southeast,Southeast,Southwest,Southeast,West,East,South,East,Southeast,South,East,South,Southwest,Southeast,South,Southwest,North,West,Southeast,East,East,South,East,Southeast,South,East,Southeast,Southwest,South,Southeast,East,West,East,West,South,East,Southeast,West,West,Southwest,East,Southeast,Southwest,East,East,Southeast,South,South
Democratic Republic of the Congo,Northeast,North,Northwest,East,Northwest,Southwest,West,West,West,Northeast,West,East,North,Northeast,West,Northeast,East,West,North,North,West,Northwest,Northwest,Northeast,West,West,North,South,West,East,West,East,North,Northwest,East,East,Northwest,Northwest,Northwest,West,North,North,West,Northeast,East,East,West,East,East,West,Northwest,North,West,West,North,North,#DIV/0!,North,Northeast,West,West,West,North,West,Northwest,Northeast,North,Southeast,Northeast,Southwest,Northwest,East,North,North,West,Southeast,West,Northwest,Northeast,North,Northwest,Northwest,North,Northwest,West,East,West,Northwest,Northwest,Northwest,West,West,West,East,North,Northwest,Northeast,East,Northeast,Northeast,Northwest,Northwest,North,North,West,East,Northwest,Northeast,Northeast,East,East,North,Northeast,Northeast,East,North,North,South,West,North,North,North,North,East,Southeast,Southeast,East,East,Northwest,North,East,Northwest,Southeast,West,East,North,North,Northeast,North,West,Northwest,Southeast,East,South,East,Northeast,North,East,East,West,Northwest,Northwest,East,East,Northeast,North,East,North,Northeast,Northeast,East,North,West,East,West,West,East,West,North,Northwest,West,Northeast,Northwest,North,Northeast,East,West,Southwest,West,West,West,Northwest,West,East,North,West,Northeast,Northwest,North,East,West,East,West,North,North,East,East,South,East,Northeast,Northwest,East,Northeast,West,North,North,Northeast,East,Northeast,East,East,East,Northwest,East,East,West,North,North,Northeast,West,East,West,Northeast,North,Northeast,Northwest,West,West,Northeast,East,West,East,East,Northeast,Southeast,Southeast
Denmark,East,Southeast,South,West,Southwest,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,Southeast,Southeast,West,Southeast,East,Southwest,East,Southwest,West,South,West,East,Southwest,Southwest,Southeast,South,Southwest,Southeast,Southwest,Southeast,Southeast,South,South,Southeast,South,West,Southwest,West,South,South,West,East,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,South,Southeast,West,Southwest,Southeast,Southeast,South,#DIV/0!,Southeast,Southwest,Southwest,Southwest,Southeast,Southwest,South,Southeast,East,South,Southeast,West,West,Southeast,East,Southwest,Southwest,East,South,Southwest,East,South,South,Southwest,Southeast,West,Southwest,East,West,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,East,Southeast,West,Southeast,Southeast,Southeast,Southeast,West,West,Southeast,South,Southwest,East,Southwest,Southeast,East,Southeast,West,Southeast,Southeast,East,East,East,Southeast,South,South,South,South,East,Southwest,East,Southeast,South,Southeast,Southeast,South,South,East,Southwest,Southeast,West,East,Southeast,South,East,Southeast,Southwest,Southwest,South,East,South,East,East,Southwest,Southeast,East,Southwest,South,South,Southwest,Southeast,East,Southeast,East,North,Southeast,Southeast,East,Southeast,Southwest,Southeast,Southwest,Southwest,East,Southwest,Southeast,Southwest,Southwest,Southeast,South,Southeast,East,South,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,East,South,South,Southeast,Southwest,Southeast,Southeast,Southwest,Southeast,Southwest,Southeast,Southeast,Southeast,Southeast,South,East,Southeast,Southwest,Southeast,Southeast,Southwest,Northeast,South,Southeast,East,East,South,Southeast,Southeast,South,East,Southeast,Southwest,South,Southeast,East,Southwest,East,Southwest,Southeast,East,Southeast,West,West,Southwest,East,Southeast,Southwest,Southeast,East,Southeast,South,South
Djibouti,Northeast,Northwest,West,East,Northwest,Southwest,West,West,Southwest,North,West,East,Northwest,North,West,Northeast,East,West,North,Northwest,West,West,West,East,West,West,Northwest,Southwest,West,Southeast,West,East,Northwest,West,Southwest,East,West,West,West,West,West,West,Southwest,East,East,Southeast,West,South,East,West,West,Northwest,West,West,North,Northwest,Southwest,Northwest,#DIV/0!,West,West,West,Northwest,West,West,Northwest,North,South,Southwest,Southwest,Northwest,East,North,Northwest,East,Southeast,West,West,North,Northwest,West,Northwest,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,East,Northwest,Northwest,East,East,Northeast,North,Northwest,Northwest,North,Northwest,West,East,Northwest,North,Northeast,South,East,Northwest,North,Northeast,East,North,North,South,West,Northwest,Northwest,Northwest,Northwest,East,South,South,East,East,West,Northwest,East,West,Southeast,West,East,North,Northwest,Northeast,Northwest,West,West,South,East,Southwest,East,East,Northwest,East,East,West,West,West,East,East,East,Northwest,East,Northwest,Northeast,Northeast,East,North,West,East,West,West,East,West,Northwest,Northwest,West,Northeast,Southwest,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,West,North,West,Northwest,Southeast,West,East,West,Northwest,Northwest,East,Southeast,Southwest,East,Southwest,Northwest,East,West,West,Northwest,Northwest,North,East,Northeast,Southwest,East,East,West,East,East,West,Northwest,North,Northeast,West,East,West,Southwest,North,Northeast,Northwest,West,Southwest,Northeast,East,West,East,East,Northeast,Southwest,Southwest
Dominica,East,East,East,West,Northeast,East,Northwest,North,South,East,West,West,Northeast,East,Northwest,East,East,Southeast,Northeast,Northeast,West,East,North,East,South,Southwest,East,Southeast,South,East,Northwest,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,East,West,Southwest,East,Northeast,East,Northeast,East,#DIV/0!,West,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,North,South,West,West,Northeast,East,East,South,West,West,East,East,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Northwest,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,Southwest,West,Southwest,Northeast,Northeast,Northwest,East,East,East,East,East,Northwest,Southeast,Northwest,South,Northwest,North,South,West,East,East,East,East,East,East,East,East,Northwest,East,East,West,East,Southeast,West,East,Northeast,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,South,East,East,East,Northwest,West,Northwest,East,East,East,Northeast,Northwest,South,East,West,Southwest,East,West,East,East,East
Dominican Republic,East,East,East,West,East,East,East,East,South,East,South,West,East,East,Northwest,East,East,Southeast,East,Northeast,West,East,North,East,South,South,East,Southeast,Southeast,East,East,West,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,South,East,Southwest,Southwest,East,East,West,South,East,East,East,Northeast,East,East,#DIV/0!,South,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,East,Southwest,Southeast,East,East,East,East,East,East,East,Northeast,Southeast,West,West,Northeast,East,East,Southeast,West,West,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,East,East,Southeast,East,East,East,East,East,West,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,East,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,Southwest,West,South,South,West,Southwest,East,East,East,East,East,East,East,East,East,Southeast,East,Southeast,East,Northeast,Southeast,West,East,East,East,East,East,East,East,East,East,East,East,West,East,Southeast,West,East,East,East,East,Southeast,Northeast,East,East,West,East,East,East,West,East,West,West,Southeast,East,East,East,Northwest,West,East,East,East,East,Northeast,Northwest,South,East,West,South,East,West,East,East,East
Ecuador,East,Northeast,East,West,Northeast,East,Northeast,Northeast,South,East,Northeast,West,Northeast,East,North,East,East,Northeast,Northeast,Northeast,Northwest,East,North,East,Southeast,Northeast,Northeast,East,Southeast,East,Northeast,West,Northeast,East,East,West,East,Northwest,East,North,East,East,South,West,West,East,Northeast,East,West,Northwest,East,Northeast,North,Northeast,East,Northeast,East,Northeast,East,Northeast,North,#DIV/0!,East,Northwest,East,East,Northeast,East,East,South,Northeast,West,Northeast,Northeast,West,East,East,East,East,Northeast,East,Northeast,East,Northeast,Northeast,West,Northwest,Northeast,East,East,East,North,Northwest,West,Northeast,Northeast,East,West,East,East,Northeast,Northeast,East,Northeast,North,West,Northeast,East,East,East,West,Northeast,East,East,West,Northeast,East,East,East,East,Northeast,Northeast,Northeast,West,East,East,West,East,East,East,West,East,East,Northwest,West,Northeast,Northeast,West,Northeast,Northeast,Northeast,East,East,East,West,East,Northeast,West,West,Northwest,East,East,West,West,West,Northeast,West,Northeast,East,East,West,East,North,West,Southeast,Southeast,West,Southwest,Northeast,Northeast,Northeast,East,East,Northeast,West,East,Northeast,East,Northeast,Northeast,Northeast,Northeast,Northeast,West,Northeast,East,East,East,Northeast,East,East,West,Northeast,Northeast,Northeast,West,East,East,West,East,Northeast,East,East,East,Northeast,Northeast,East,West,East,East,East,West,East,West,West,Northeast,East,East,East,North,West,Northeast,East,Northeast,East,Northeast,Northwest,Southeast,East,West,Northeast,West,West,East,East,East
Egypt,East,Northwest,West,East,Northwest,South,West,West,Southwest,Northeast,West,Southeast,Northwest,Northeast,West,East,East,West,North,Northwest,West,Southwest,West,East,Southwest,West,Northwest,South,Southwest,Southeast,West,East,North,Southwest,South,East,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,Northwest,West,West,North,Northwest,South,Northwest,Southeast,West,West,West,#DIV/0!,West,Southwest,Southeast,North,South,Southeast,Southwest,Northwest,East,North,Northwest,East,Southeast,Southwest,West,Northeast,Northwest,Southwest,West,Northwest,Northwest,West,East,West,Northwest,Southwest,West,West,West,West,East,Northwest,Northwest,East,East,East,Northeast,Northwest,Northwest,Northeast,Northwest,West,East,Northwest,Northeast,Northeast,South,East,Northwest,East,East,East,North,Northeast,South,Southwest,West,Northwest,North,Northwest,East,South,South,East,Southeast,West,Northwest,East,West,Southeast,West,East,North,Northwest,East,Northwest,West,West,South,East,South,East,East,Northwest,East,Southeast,West,West,Southwest,East,East,East,Northwest,East,Northwest,East,East,East,Northeast,West,East,Southwest,West,East,West,Northwest,West,West,East,Southwest,North,Northeast,South,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,East,West,Northwest,Southeast,Southwest,East,West,Northwest,Northwest,East,Southeast,South,East,South,West,East,South,West,North,Northwest,Northeast,East,East,South,East,East,Southwest,East,East,West,West,North,Northeast,West,East,West,South,North,East,Northwest,West,Southwest,Northeast,East,West,East,East,Southeast,South,South
El Salvador,East,East,East,West,East,East,East,East,Southeast,East,East,West,East,East,Northeast,East,East,East,East,East,North,East,Northeast,East,Southeast,East,East,East,Southeast,East,East,West,East,East,East,West,East,North,East,Northeast,East,East,South,West,West,West,Southeast,East,Southwest,Southeast,East,East,Northeast,East,East,East,East,Northeast,East,East,East,Southeast,East,#DIV/0!,East,East,East,East,East,Southeast,Northeast,West,Northeast,East,Southwest,East,East,East,East,East,East,East,East,Northeast,East,West,Northwest,East,East,East,East,East,Northeast,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,East,West,East,East,East,East,West,East,East,East,West,East,East,East,East,East,East,East,East,West,East,East,West,East,East,East,West,East,East,Northwest,West,East,East,West,East,East,East,East,West,East,West,East,East,West,Southwest,East,East,East,West,Southwest,West,East,West,Northeast,East,East,West,East,Southeast,West,Southeast,Southeast,West,Southwest,East,East,East,East,East,East,West,East,East,Southeast,East,East,East,Northeast,East,West,East,East,East,East,East,East,East,West,East,East,East,West,East,East,West,East,East,East,East,East,Northeast,East,East,West,East,East,West,West,East,West,West,East,East,East,East,Northeast,West,East,East,East,East,Northeast,North,Southeast,East,West,East,West,West,East,East,East
Equatorial Guinea,Northeast,North,North,East,North,Southeast,West,West,Southwest,Northeast,West,East,North,Northeast,West,Northeast,East,West,North,North,West,Northwest,West,East,West,West,North,Southeast,West,East,West,East,North,Northwest,East,East,North,Northwest,Northwest,West,Northeast,Northeast,Southwest,East,East,East,West,East,West,West,West,North,West,West,Northeast,North,Southeast,North,East,West,West,West,Northeast,West,#DIV/0!,Northeast,North,Southeast,East,Southwest,North,East,North,North,West,Southeast,Southeast,Northwest,Northeast,North,Northwest,Northwest,North,Northwest,West,East,West,North,Northwest,West,West,West,West,East,North,Northwest,East,East,Northeast,Northeast,North,North,Northeast,North,West,East,North,Northeast,Northeast,East,West,North,Northeast,Northeast,East,North,Northeast,Southeast,West,North,North,North,North,East,Southeast,Southeast,East,East,Northwest,North,East,Northwest,Southeast,West,East,North,North,Northeast,North,West,Northwest,Southeast,East,South,East,East,North,East,East,West,North,North,East,East,East,North,East,North,Northeast,Northeast,East,Northeast,West,East,West,West,East,West,North,Northwest,West,Northeast,East,North,Northeast,East,West,Southwest,West,West,West,Northwest,West,East,North,West,Northeast,Northwest,North,East,West,East,West,North,North,East,East,South,East,East,North,East,Northeast,West,North,North,Northeast,East,Northeast,East,East,East,Northwest,East,East,West,North,Northeast,Northeast,West,East,West,East,Northeast,Northeast,North,West,Southwest,Northeast,East,West,East,East,East,Southeast,Southeast
Eritrea,Northeast,Northwest,West,East,Northwest,Southwest,West,West,Southwest,North,West,Southeast,Northwest,North,West,Northeast,East,West,North,Northwest,West,West,West,East,West,West,Northwest,South,West,Southeast,West,East,Northwest,West,Southwest,East,West,West,West,West,Southwest,West,Southwest,East,East,Southeast,West,South,East,West,West,Northwest,West,West,North,Northwest,Southwest,Northwest,Southeast,West,West,West,Northwest,West,Southwest,#DIV/0!,North,South,South,Southwest,Northwest,East,North,Northwest,East,Southeast,Southwest,West,North,Northwest,West,Northwest,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,East,Northwest,Northwest,East,East,Northeast,North,Northwest,Northwest,North,Northwest,West,East,Northwest,North,Northeast,South,East,Northwest,Northeast,Northeast,East,North,North,South,West,Northwest,Northwest,North,Northwest,East,South,South,East,East,West,Northwest,East,West,Southeast,West,East,North,Northwest,Northeast,Northwest,West,West,South,East,Southwest,East,East,Northwest,East,Southeast,West,West,West,East,East,East,Northwest,East,Northwest,East,Northeast,East,North,West,East,West,West,East,West,Northwest,Northwest,West,Northeast,Southwest,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,Northeast,West,Northwest,Southeast,West,East,West,Northwest,Northwest,East,Southeast,South,East,Southwest,Northwest,East,West,West,Northwest,Northwest,North,East,Northeast,South,East,East,West,East,East,West,Northwest,North,Northeast,West,East,West,Southwest,North,Northeast,Northwest,West,Southwest,Northeast,East,West,East,East,East,Southwest,South
Estonia,Southeast,South,Southwest,Southeast,Southwest,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,Southwest,Southeast,West,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,West,Southeast,Southwest,Southwest,Southwest,South,Southwest,Southeast,Southwest,Southeast,South,Southwest,South,Southeast,South,West,Southwest,West,South,South,West,East,Southeast,Southeast,Southwest,South,Southeast,Southwest,Southwest,Southwest,West,Southwest,South,Southwest,South,West,South,Southwest,Southwest,Southwest,South,West,South,South,#DIV/0!,South,South,West,West,Southeast,North,Southwest,Southwest,East,South,Southwest,Southeast,Southwest,Southwest,Southwest,South,West,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Southwest,West,Southeast,Southeast,Southeast,Southeast,West,West,South,Southwest,West,East,West,South,East,South,East,South,Southeast,East,Southeast,South,Southeast,South,Southwest,South,Southwest,South,Southwest,East,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,South,West,East,South,Southwest,East,South,Southwest,Southwest,South,Southeast,South,Southeast,Southeast,West,Southeast,East,Southwest,South,South,Southeast,Southeast,East,South,East,West,Southeast,Southeast,Southeast,South,Southwest,Southeast,Southwest,Southwest,Southeast,Southwest,Southwest,Southwest,Southwest,Southeast,South,South,East,South,Southwest,Southwest,Southwest,Southwest,Southwest,West,Southwest,Southeast,Southwest,South,Southeast,Southwest,South,Southeast,Southwest,Southeast,Southwest,Southwest,Southwest,Southeast,South,South,East,South,Southwest,Southeast,South,Southwest,West,Southwest,Southeast,East,Southeast,South,Southeast,Southeast,Southwest,East,Southeast,Southwest,Southwest,Southeast,Southeast,West,Southeast,Southwest,South,Southeast,Southeast,West,West,West,Southeast,Southeast,Southwest,Southeast,Southeast,Southeast,South,South
